,Title,Site,Description,Address,PhoneNumber,ProfileUrl
47,"Beach Mold & Tool, Inc./ NYX Albany",http://www.beachmold.com/,"
 Beach Mold & Tool has over 30 years of experience in the plastics manufacturing industry, and we are injection molding specialists. With over 150 injection molding machines ranging from 30 to 2200 tons and extensive machining capabilities, we can meet all your specifications and requirements. More than molding, we also provide new product introduction and design services to help bring your ideas into reality. Your project's success is our mission, so contact us to get started today!","999 Progress Blvd,New Albany,IN,47150",812-945-2688,https://www.iqsdirectory.com/profile/beach-mold-and-tool-nyx-albany-72239/
48,"Bentonville Plastics, Inc",https://www.bentonvilleplastics.com/,"
 At Bentonville Plastics, we strive to work with our customers to offer the best solution at the best price. From engineering and mold making to injection molding and hot stamping, we meet all of our customer’s most challenging demands under one roof. With an excellent track record of on time deliveries and outstanding quality, Bentonville is a name you can trust to satisfy your plastics processing needs.",607 SW ,800-821-2799,https://www.iqsdirectory.com/profile/bentonville-plastics-77308/
49,"Bermar Associates, Inc.",http://www.bermarassociates.com/index.html,"
 Bermar Associates is a manufacturer of injection molded plastics, plastic molders and thermoset plastics.  We serve a variety of industries including medical, automotive, recreational and more.","433 Minnesota Drive,Troy,MI,48083",248-589-2460,https://www.iqsdirectory.com/profile/bermar-associates-55878/
50,"Bestco, Inc.",https://www.bestco-inc.com,"
 Bestco, Inc. is your source for plastic injection and die casting molds. Since 1967, we have designed, manufactured, and supplied molds to the electronics, medical, packaging, and toy industries. We are ready to partner with you to ensure that your project is a success, and we will help you in any way we can to guarantee your satisfaction. Please give us a call to discuss your design ideas and your applications!","21475 NW Mauzey Road,Hillsboro,OR,97124",503-690-0301,https://www.iqsdirectory.com/profile/bestco-73797/
51,"Blackhawk Molding Co., Inc.",http://www.blackhawkmolding.com/,"
 Blackhawk Molding Company is a plastic injection molding company. We specialize in supplying plastic products to the dairy, water, and juice industries. Our products include plastic caps between 28mm and 55mm, scoops, water accessories, and several innovative sealing systems. We have all the plastic caps and seals you need, so give us a call or visit our website to check out amazing products!","120 W. Interstate Rd,Addison,IL,60101",630-543-3900,https://www.iqsdirectory.com/profile/blackhawk-molding-76702/
52,Blackwell Plastics LP,http://www.blackwellplastics.com,"
 Our award-winning company produces extruded products in many engineering-grade resins and durometers. Products include rods, tubes and profiles of all shapes. We have co-extrusion capabilities and do in-line cutting, slitting, decorating, and marking. We also utilize many plastic injection molding machines ranging from 22 tons and 620 tons, so we can satisfy all of your plastic requirements. Contact us today to discover our complete selection of services!","5606 Cavanaugh St,Houston,TX,77021",877-643-6577,https://www.iqsdirectory.com/profile/blackwell-plastics-lp-55967/
53,"Blue Ridge Industries, Inc.",https://www.blueridgeind.com,"
 BRI, an ISO 9001:2008 manufacturer, was founded in Winchester, VA in 1985 as a custom injection molder and assembler of plastic parts. We offer: custom injection molding, contract manufacturing, sonic welding, pad printing/hot stamping, plastic painting and hydrografix decoration. We have extensive success in providing customers with tooling and procurement, molding, assembly and retail packaging.","266 Arbor Court,Winchester,VA,22602",540-662-3900,https://www.iqsdirectory.com/profile/blue-ridge-72317/
54,"Boardman Molded Products, Inc.",https://boardmanmolded.com/,"
 At Boardman Molded Products, we have provided a turnkey solution to your injection molding needs since 1957. We can assist you with the whole process: designing, engineering, prototyping, mold design and construction, and actual production. Our injection molding machines range from 85 to 1200 tons, and we have a full service tooling shop. We have the capabilities to take your project from concept to completion, so contact us today to get started!","1110 Thalia Ave,Youngstown,OH,44512",330-788-2401,https://www.iqsdirectory.com/profile/boardman-molded-products-72320/
55,Bright Plastics,https://www.brightplastics.com/,"
 We provide custom injection molding, product and plastic injection mold design, decoration and assembly. We meet or exceed customers' expectations through teamwork, dedication and the help of our suppliers. We provide  high-quality plastic injection molding to a variety of industries.","4833 High Point Road (Plant 1) || 7205 Cessna Drive (Plant 2),Greensboro,NC,27417","336-814-4674, 336-312-8745",https://www.iqsdirectory.com/profile/bright-plastics-56144/
56,BrokerMFG,https://www.brokermfg.com,"
 BrokerMFG is a premier custom thermoplastic injection molding company located in Franklin, Wisconsin. Serving a variety of industries since our founding in 1984, our company is focused on providing parts that are 100% defect-free. Our services include machining, prototyping, and design engineering. Markets served include aerospace, appliances, electronics, and consumer. Our components are molded in a variety of engineered resins including ABS, acetal, acrylic, nylon, PC/ABS, PEEK, PEI, PPO/PPE, and polycarbonate. For more information, contact Broker today!","5600 W. Oakwood Park Drive,Franklin,WI,53132",414-421-5900,https://www.iqsdirectory.com/profile/brokermfg-78244/
57,Bruin Manufacturing,https://www.bruinmfg.com/,"
 Bruin Manufacturing, an ISO 9001:2000 certified molded plastic manufacturer, provides plastic injection molding with quality parts, fast turnaround & cost savings due to high efficiency. We have a wide range of in-house custom small hot runner plastic molder capabilities with sizes to 1/1000 of an inch, from piecework to total turnkey. Whether a large or small customer, Bruin can work with you!","607 N. 4th Avenue,Marshalltown,IA,50158",641-752-7116,https://www.iqsdirectory.com/profile/bruin-manufacturing-56184/
58,Burco Corp. Inc.,https://www.burco-molding.com/,"
 We do custom plastic injection molding and insert molding with a range of shot sizes from 79gm – 5588gm and tonnage from 60 – 950 tons. Our plastic molding engineers have 25 combined years of experience. Serving industries such as aerospace, appliance, lighting, communications and more.","15015 Herriman Blvd,Noblesville,IN,46060",888-883-6656,https://www.iqsdirectory.com/profile/burco-70726/
59,C&J Industries,https://www.cjindustries.com/,"
 At C&J Industries, we put our customers’ needs first. Contract manufacturing and injection molding are our specialties, and since our inception, we have continued to expand our capabilities to meet every customer's requirements. We are an ISO 9001:2008 and ISO 13485:2003 certified molding company, and we are registered to manufacture medical device and plastic components through the FDA. We hold our products to the highest standards, so you can get the best products for your applications.","760 Water Street,Meadville,PA,16335",814-724-4950,https://www.iqsdirectory.com/profile/c-and-j-76704/
